"","Dataset","Model","Feature","Feature_Value","group_size","Feature_EN","Feature_Value_EN","stage","Metric","Value"
"184","Pilot","AR","Leeftijd&lt;30","1",NA,"Age < 30","below 30","Pilot/AR","FP",NA
"185","Pilot","AR","Leeftijd&lt;30","1",NA,"Age < 30","below 30","Pilot/AR","FN",NA
"186","Pilot","AR","Leeftijd&lt;30","1",NA,"Age < 30","below 30","Pilot/AR","TP",NA
"187","Pilot","AR","Leeftijd&lt;30","1",NA,"Age < 30","below 30","Pilot/AR","TOTAL",NA
"188","Pilot","AR","Leeftijd&lt;30","1",NA,"Age < 30","below 30","Pilot/AR","ACT_N",NA
"189","Pilot","AR","Leeftijd&lt;30","1",NA,"Age < 30","below 30","Pilot/AR","ACT_P",NA
"190","Pilot","AR","Leeftijd&lt;30","1",NA,"Age < 30","below 30","Pilot/AR","PRED_P",NA
"191","Pilot","AR","Leeftijd&lt;30","1",NA,"Age < 30","below 30","Pilot/AR","PRED_N",NA
"192","Pilot","AR","Leeftijd&lt;30","1",NA,"Age < 30","below 30","Pilot/AR","FPR",NA
"193","Pilot","AR","Leeftijd&lt;30","1",NA,"Age < 30","below 30","Pilot/AR","PPV",NA
"194","Pilot","AR","Leeftijd&lt;30","1",NA,"Age < 30","below 30","Pilot/AR","TPR",NA
"195","Pilot","AR","Leeftijd&lt;30","1",NA,"Age < 30","below 30","Pilot/AR","ERROR",NA
"196","Pilot","AR","Leeftijd&lt;30","0",236,"Age < 30","above 30","Pilot/AR","TN",17.3728813559322
"197","Pilot","AR","Leeftijd&lt;30","0",236,"Age < 30","above 30","Pilot/AR","FP",34.7457627118644
"198","Pilot","AR","Leeftijd&lt;30","0",236,"Age < 30","above 30","Pilot/AR","FN",18.2203389830508
"199","Pilot","AR","Leeftijd&lt;30","0",236,"Age < 30","above 30","Pilot/AR","TP",29.6610169491525
"200","Pilot","AR","Leeftijd&lt;30","0",236,"Age < 30","above 30","Pilot/AR","TOTAL",100
"201","Pilot","AR","Leeftijd&lt;30","0",236,"Age < 30","above 30","Pilot/AR","ACT_N",52.1186440677966
"202","Pilot","AR","Leeftijd&lt;30","0",236,"Age < 30","above 30","Pilot/AR","ACT_P",47.8813559322034
"203","Pilot","AR","Leeftijd&lt;30","0",236,"Age < 30","above 30","Pilot/AR","PRED_P",64.4067796610169
"204","Pilot","AR","Leeftijd&lt;30","0",236,"Age < 30","above 30","Pilot/AR","PRED_N",35.593220338983
"205","Pilot","AR","Leeftijd&lt;30","0",236,"Age < 30","above 30","Pilot/AR","FPR",66.6666666666667
"206","Pilot","AR","Leeftijd&lt;30","0",236,"Age < 30","above 30","Pilot/AR","PPV",46.0526315789474
"207","Pilot","AR","Leeftijd&lt;30","0",236,"Age < 30","above 30","Pilot/AR","TPR",61.9469026548673
"208","Pilot","AR","Leeftijd&lt;30","0",236,"Age < 30","above 30","Pilot/AR","ERROR",52.9661016949153
"209","Pilot","AR","Leeftijd&lt;40","1",152,"Age < 40","below 40","Pilot/AR","TN",11.1842105263158
"210","Pilot","AR","Leeftijd&lt;40","1",152,"Age < 40","below 40","Pilot/AR","FP",38.1578947368421
"211","Pilot","AR","Leeftijd&lt;40","1",152,"Age < 40","below 40","Pilot/AR","FN",15.1315789473684
"212","Pilot","AR","Leeftijd&lt;40","1",152,"Age < 40","below 40","Pilot/AR","TP",35.5263157894737
"213","Pilot","AR","Leeftijd&lt;40","1",152,"Age < 40","below 40","Pilot/AR","TOTAL",100
"214","Pilot","AR","Leeftijd&lt;40","1",152,"Age < 40","below 40","Pilot/AR","ACT_N",49.3421052631579
"215","Pilot","AR","Leeftijd&lt;40","1",152,"Age < 40","below 40","Pilot/AR","ACT_P",50.6578947368421
"216","Pilot","AR","Leeftijd&lt;40","1",152,"Age < 40","below 40","Pilot/AR","PRED_P",73.6842105263158
"217","Pilot","AR","Leeftijd&lt;40","1",152,"Age < 40","below 40","Pilot/AR","PRED_N",26.3157894736842
"218","Pilot","AR","Leeftijd&lt;40","1",152,"Age < 40","below 40","Pilot/AR","FPR",77.3333333333333
"219","Pilot","AR","Leeftijd&lt;40","1",152,"Age < 40","below 40","Pilot/AR","PPV",48.2142857142857
"220","Pilot","AR","Leeftijd&lt;40","1",152,"Age < 40","below 40","Pilot/AR","TPR",70.1298701298701
"221","Pilot","AR","Leeftijd&lt;40","1",152,"Age < 40","below 40","Pilot/AR","ERROR",53.2894736842105
"222","Pilot","AR","Leeftijd&lt;40","0",120,"Age < 40","above 40","Pilot/AR","TN",20.8333333333333
"223","Pilot","AR","Leeftijd&lt;40","0",120,"Age < 40","above 40","Pilot/AR","FP",34.1666666666667
"224","Pilot","AR","Leeftijd&lt;40","0",120,"Age < 40","above 40","Pilot/AR","FN",19.1666666666667
"225","Pilot","AR","Leeftijd&lt;40","0",120,"Age < 40","above 40","Pilot/AR","TP",25.8333333333333
"226","Pilot","AR","Leeftijd&lt;40","0",120,"Age < 40","above 40","Pilot/AR","TOTAL",100
"227","Pilot","AR","Leeftijd&lt;40","0",120,"Age < 40","above 40","Pilot/AR","ACT_N",55
"228","Pilot","AR","Leeftijd&lt;40","0",120,"Age < 40","above 40","Pilot/AR","ACT_P",45
"229","Pilot","AR","Leeftijd&lt;40","0",120,"Age < 40","above 40","Pilot/AR","PRED_P",60
"230","Pilot","AR","Leeftijd&lt;40","0",120,"Age < 40","above 40","Pilot/AR","PRED_N",40
"231","Pilot","AR","Leeftijd&lt;40","0",120,"Age < 40","above 40","Pilot/AR","FPR",62.1212121212121
"232","Pilot","AR","Leeftijd&lt;40","0",120,"Age < 40","above 40","Pilot/AR","PPV",43.0555555555556
"233","Pilot","AR","Leeftijd&lt;40","0",120,"Age < 40","above 40","Pilot/AR","TPR",57.4074074074074
"234","Pilot","AR","Leeftijd&lt;40","0",120,"Age < 40","above 40","Pilot/AR","ERROR",53.3333333333333
"235","Pilot","AR","Leeftijd&lt;50","1",208,"Age < 50","below 50","Pilot/AR","TN",14.9038461538462
"236","Pilot","AR","Leeftijd&lt;50","1",208,"Age < 50","below 50","Pilot/AR","FP",35.5769230769231
"237","Pilot","AR","Leeftijd&lt;50","1",208,"Age < 50","below 50","Pilot/AR","FN",13.4615384615385
"238","Pilot","AR","Leeftijd&lt;50","1",208,"Age < 50","below 50","Pilot/AR","TP",36.0576923076923
"239","Pilot","AR","Leeftijd&lt;50","1",208,"Age < 50","below 50","Pilot/AR","TOTAL",100
"240","Pilot","AR","Leeftijd&lt;50","1",208,"Age < 50","below 50","Pilot/AR","ACT_N",50.4807692307692
"241","Pilot","AR","Leeftijd&lt;50","1",208,"Age < 50","below 50","Pilot/AR","ACT_P",49.5192307692308
"242","Pilot","AR","Leeftijd&lt;50","1",208,"Age < 50","below 50","Pilot/AR","PRED_P",71.6346153846154
"243","Pilot","AR","Leeftijd&lt;50","1",208,"Age < 50","below 50","Pilot/AR","PRED_N",28.3653846153846
"244","Pilot","AR","Leeftijd&lt;50","1",208,"Age < 50","below 50","Pilot/AR","FPR",70.4761904761905
"245","Pilot","AR","Leeftijd&lt;50","1",208,"Age < 50","below 50","Pilot/AR","PPV",50.3355704697987
"246","Pilot","AR","Leeftijd&lt;50","1",208,"Age < 50","below 50","Pilot/AR","TPR",72.8155339805825
"247","Pilot","AR","Leeftijd&lt;50","1",208,"Age < 50","below 50","Pilot/AR","ERROR",49.0384615384615
"248","Pilot","AR","Leeftijd&lt;50","0",64,"Age < 50","above 50","Pilot/AR","TN",17.1875
"249","Pilot","AR","Leeftijd&lt;50","0",64,"Age < 50","above 50","Pilot/AR","FP",39.0625
"250","Pilot","AR","Leeftijd&lt;50","0",64,"Age < 50","above 50","Pilot/AR","FN",28.125
"251","Pilot","AR","Leeftijd&lt;50","0",64,"Age < 50","above 50","Pilot/AR","TP",15.625
"252","Pilot","AR","Leeftijd&lt;50","0",64,"Age < 50","above 50","Pilot/AR","TOTAL",100
"253","Pilot","AR","Leeftijd&lt;50","0",64,"Age < 50","above 50","Pilot/AR","ACT_N",56.25
"254","Pilot","AR","Leeftijd&lt;50","0",64,"Age < 50","above 50","Pilot/AR","ACT_P",43.75
"255","Pilot","AR","Leeftijd&lt;50","0",64,"Age < 50","above 50","Pilot/AR","PRED_P",54.6875
"256","Pilot","AR","Leeftijd&lt;50","0",64,"Age < 50","above 50","Pilot/AR","PRED_N",45.3125
"257","Pilot","AR","Leeftijd&lt;50","0",64,"Age < 50","above 50","Pilot/AR","FPR",69.4444444444444
"258","Pilot","AR","Leeftijd&lt;50","0",64,"Age < 50","above 50","Pilot/AR","PPV",28.5714285714286
"259","Pilot","AR","Leeftijd&lt;50","0",64,"Age < 50","above 50","Pilot/AR","TPR",35.7142857142857
